dc_id,name,provider,address,municipality,state,latitude,longitude,state_from_coords,coord_state_mismatch,MW_total_power,mw_flagged_outlier,miles_to_nearest_airport,sqft_colocation_space,sqft_total_space,url,number,street,est_mw,mw_source,wet_bulb_c,climate_adj,est_liters_per_day,est_liters_per_day_low,est_liters_per_day_high,wue_default,bws_score,bws_category,stress_stressor_match,operator_class,is_hyperscaler_self,is_colocation_major,is_colocation_secondary,is_cable_telecom,is_edge_micro,is_cdn_isp,is_enterprise_self,is_disclosed_mw,lat_lon_grid_cell,lat_lon_grid_id,is_hawaii_alaska,is_water_stressed_state,cooling_type
DC-00358,QTS Data Centers: Sacramento Data Center,QTS Data Centers,"1100 North Market Boulevard, Sacramento, CA, USA",Sacramento,CA,38.646312,-121.48627223043133,CA,False,4.0,False,6.22,46000.0,92000.0,https://datacenters.com/qts-sacramento,1100.0,North Market Boulevard,4.0,disclosed,11.234794520547943,1.0,84672.0,42336.0,127008.0,1.8,3.724,High,True,colocation_major,False,True,False,False,False,False,False,True,38N-121W,89,False,True,unknown
DC-00359,Lumen: Bakersfield 2 Data Center,Lumen,"1430 Truxtun Ave, Bakersfield, CA, USA",Bakersfield,CA,35.37341591836735,-119.01802897959185,CA,False,,False,104.4,,4917.0,https://datacenters.com/lumen-bakersfield-2,1430.0,Truxtun Ave,10.0,heuristic:colocation_secondary,11.862739726027396,1.0,211680.0,105840.0,317520.0,1.8,3.724,High,True,colocation_secondary,False,False,True,False,False,False,False,False,35N-119W,63,False,True,unknown
DC-00360,NFINIT: Lightwave Data Center,NFINIT,"9305 Lightwave Avenue, San Diego, CA, USA",San Diego,CA,32.82785865,-117.12992659595538,CA,False,1.7,False,7.46,58335.0,80100.0,https://datacenters.com/nfinit-lightwave,9305.0,Lightwave Avenue,1.7,disclosed,12.783013698630135,1.0,35985.6,17992.8,53978.4,1.8,3.724,High,True,unknown,False,False,False,False,False,False,False,True,32N-117W,34,False,True,unknown
DC-00361,Cologix: JAX1 Jacksonville Data Center,Cologix,"421 West Church Street, Jacksonville, FL, USA",Jacksonville,FL,30.33129782414535,-81.66256259106859,FL,False,,False,11.19,10200.0,10200.0,https://datacenters.com/cologix-jax1-jacksonville,421.0,West Church Street,20.0,heuristic:colocation_major,18.40383561643836,1.1021150684931509,466591.4353972604,233295.71769863012,699887.1530958905,1.8,2.559,Medium-High,False,colocation_major,False,True,False,False,False,False,False,False,30N-081W,15,False,False,unknown
DC-00362,Direct LTx: Reading PA Data Center,Direct LTx,"2561 Bernville Road, Reading, PA, USA",Reading,PA,40.3809499,-75.9823925715146,PA,False,6.0,False,52.2,110000.0,300000.0,https://datacenters.com/directlink-technologies-reading-pa,2561.0,Bernville Road,6.0,disclosed,9.30301369863014,1.0,127008.0,63503.99999999999,190512.0,1.8,1.225,Low-Medium,False,colocation_secondary,False,False,True,False,False,False,False,True,40N-075W,106,False,False,unknown
DC-00363,Lumen: Birmingham 1 Data Center,Lumen,"401 6th Street North, Birmingham, AL, USA",Birmingham,AL,33.508175,-86.826547,AL,False,,False,5.6,4512.0,10000.0,https://datacenters.com/lumen-birmingham-1-364f5389-ea50-4369-8fac-31408f894ca9,401.0,6th Street North,10.0,heuristic:colocation_secondary,14.280821917808222,1.0,211680.0,105840.0,317520.0,1.8,0.53,Low,False,colocation_secondary,False,False,True,False,False,False,False,False,33N-086W,38,False,False,unknown
DC-00364,Aligned Data Centers: Dallas Data Center,Aligned Data Centers,"2800 Summit Ave, Plano, TX, USA",Plano,TX,33.00975493708304,-96.6784322829964,TX,False,60.0,False,21.75,52700.0,375000.0,https://datacenters.com/aligned-energy-dallas,2800.0,Summit Ave,60.0,disclosed,15.145479452054794,1.0043643835616438,1275623.1162739724,637811.5581369862,1913434.6744109588,1.8,2.681,Medium-High,False,colocation_major,False,True,False,False,False,False,False,True,33N-096W,39,False,False,unknown
DC-00365,Equinix: PH1 Philadelphia Data Center,Equinix,"401 North Broad Street, Philadelphia, PA, USA",Philadelphia,PA,39.9598694,-75.16081442465776,PA,False,0.3,False,6.84,26779.0,47692.0,https://datacenters.com/equinix-ph1-philadelphia,401.0,North Broad Street,0.3,disclosed,10.252328767123288,1.0,6350.4,3175.2,9525.6,1.8,1.225,Low-Medium,False,colocation_major,False,True,False,False,False,False,False,True,39N-075W,91,False,False,unknown
DC-00366,Oracle: US DoD North us-gov-chicago-1,Oracle,"Chicago, IL, USA",IL,IL,41.8755616,-87.6244212,IL,False,,False,15.54,,,https://datacenters.com/oracle-us-dod-north-us-gov-chicago-1,,Chicago,50.0,heuristic:hyperscaler_self,8.263561643835615,1.0,1058400.0,529200.0,1587600.0,1.8,0.75,Low,False,hyperscaler_self,True,False,False,False,False,False,False,False,41N-087W,122,False,False,unknown
DC-00367,Lumen: McLean 1 Data Center,Lumen,"1755 Old Meadow Road, McLean, VA 22102, USA",McLean,VA,38.9208538,-77.2115713,VA,False,,False,9.95,15535.0,62904.0,https://datacenters.com/lumen-mclean-1,1755.0,Old Meadow Road,10.0,heuristic:colocation_secondary,10.692602739726029,1.0,211680.0,105840.0,317520.0,1.8,1.94,Low-Medium,False,colocation_secondary,False,False,True,False,False,False,False,False,38N-077W,82,False,False,unknown
DC-00368,Lumen: Cincinnati 1 Data Center,Lumen,"400 Pike Street, Cincinnati, OH, USA",Cincinnati,OH,39.10190185567011,-84.50318334020618,OH,False,,False,9.3,7059.0,36697.0,https://datacenters.com/lumen-cincinnati-1,400.0,Pike Street,10.0,heuristic:colocation_secondary,9.992054794520548,1.0,211680.0,105840.0,317520.0,1.8,1.279,Low-Medium,False,colocation_secondary,False,False,True,False,False,False,False,False,39N-084W,97,False,False,unknown
DC-00369,Evocative: Boston Data Center (BOS1),Evocative,"50 Inner Belt Road, Somerville, MA, USA",Somerville,MA,42.37795725,-71.08031894999999,MA,False,6.0,False,3.11,21600.0,46000.0,https://datacenters.com/evocative-boston-bos1,50.0,Inner Belt Road,6.0,disclosed,8.422465753424657,1.0,127008.0,63503.99999999999,190512.0,1.8,2.012,Medium-High,False,colocation_major,False,True,False,False,False,False,False,True,42N-071W,130,False,False,unknown
DC-00370,Charlotte Colocation Center: Charlotte Data Center,Charlotte Colocation Center,"5821 Fairview Rd, Charlotte, NC, USA",Charlotte,NC,35.151902847697286,-80.84281227869856,NC,False,,False,7.46,1680.0,50000.0,https://datacenters.com/charlotte-colocation-center-charlotte,5821.0,Fairview Rd,10.0,heuristic:colocation_secondary,13.014520547945208,1.0,211680.0,105840.0,317520.0,1.8,2.498,Medium-High,False,colocation_secondary,False,False,True,False,False,False,False,False,35N-080W,55,False,False,unknown
DC-00371,TurnKey Internet: Albany Data Center,TurnKey Internet,"175 Old Loudon Rd, Latham, NY, USA",Latham,NY,42.745436350000006,-73.75920168636466,NY,False,,False,1.87,,,https://datacenters.com/turnkey-internet-albany,175.0,Old Loudon Rd,10.0,heuristic:colocation_secondary,7.927123287671232,1.0,211680.0,105840.0,317520.0,1.8,0.834,Low,False,colocation_secondary,False,False,True,False,False,False,False,False,42N-073W,132,False,False,unknown
DC-00372,Hivelocity: ATL2 Atlanta Data Center,Hivelocity,"250 Williams Street Northwest, Atlanta, GA, USA",Atlanta,GA,33.76163914285714,-84.39064993877551,GA,False,,False,8.08,,,https://datacenters.com/hivelocity-atl2-atlanta,250.0,Williams Street Northwest,20.0,heuristic:colocation_major,13.568767123287673,1.0,423360.0,211680.0,635040.0,1.8,1.889,Low-Medium,False,colocation_major,False,True,False,False,False,False,False,False,33N-084W,36,False,False,unknown
DC-00373,Digital Realty: Silicon Valley SJC29 Data Center,Digital Realty,"1725 Comstock Street, Santa Clara, CA, USA",Santa Clara,CA,37.3750232,-121.9580962,CA,False,6.2,False,1.2,39643.0,39643.0,https://datacenters.com/digital-realty-silicon-valley-sjc29,1725.0,Comstock Street,6.2,disclosed,11.20082191780822,1.0,131241.6,65620.8,196862.4,1.8,3.724,High,True,colocation_major,False,True,False,False,False,False,False,True,37N-121W,80,False,True,unknown
DC-00374,Stack Infrastructure: CHI01 Chicago Data Center,Stack Infrastructure,"1441 Touhy Avenue, Elk Grove Village, IL, USA",Elk Grove Village,IL,42.00761564395706,-87.96445220367333,IL,False,40.0,False,3.11,,221000.0,https://datacenters.com/stack-infrastructure-chi01-chicago,1441.0,Touhy Avenue,40.0,disclosed,7.767123287671233,1.0,846720.0,423360.0,1270080.0,1.8,0.75,Low,False,unknown,False,False,False,False,False,False,False,True,42N-087W,137,False,False,unknown
DC-00375,QTS Data Centers: Ashburn-Moran Data Center,QTS Data Centers,"44874 Moran Road, Sterling, Virginia 20166, USA",Sterling,VA,38.999336204187045,-77.43725076518531,VA,False,6.0,False,3.11,26820.0,87000.0,https://datacenters.com/qts-ashburn-moran,44874.0,Moran Road,6.0,disclosed,10.42958904109589,1.0,127008.0,63503.99999999999,190512.0,1.8,1.94,Low-Medium,False,colocation_major,False,True,False,False,False,False,False,True,38N-077W,82,False,False,unknown
DC-00376,Xyvest: 611 Wilshire Blvd Data Center,Xyvest,"611 Wilshire Boulevard, Los Angeles, CA, USA",Los Angeles,CA,34.06234691027145,-118.34757900601574,CA,False,,False,11.18,,,https://datacenters.com/xyvest-611-wilshire-blvd,611.0,Wilshire Boulevard,10.0,heuristic:colocation_secondary,12.540547945205477,1.0,211680.0,105840.0,317520.0,1.8,3.724,High,True,colocation_secondary,False,False,True,False,False,False,False,False,34N-118W,52,False,True,unknown
DC-00377,Vantage Data Centers: CA1 Santa Clara Data Center Campus,Vantage Data Centers,"2820 Northwestern Parkway, Santa Clara, CA, USA",Santa Clara,CA,37.3725693,-121.97365893917444,CA,False,75.0,False,2.49,335000.0,335000.0,https://datacenters.com/vantage-ca1-santa-clara-campus,2820.0,Northwestern Parkway,75.0,disclosed,11.163013698630136,1.0,1587600.0,793800.0,2381400.0,1.8,3.724,High,True,colocation_major,False,True,False,False,False,False,False,True,37N-121W,80,False,True,unknown
DC-00378,Iron Mountain Data Centers: AZS - 1 - Scottsdale Data Center,Iron Mountain Data Centers,"8521 East Princess Drive, Scottsdale, AZ, USA",Scottsdale,AZ,33.6445902,-111.89575849541508,AZ,False,5.8,False,15.54,,121000.0,https://datacenters.com/iron-mountain-azs-1-scottsdale,8521.0,East Princess Drive,5.8,disclosed,11.88876712328767,1.0,122774.4,61387.2,184161.6,1.8,3.487,High,True,colocation_major,False,True,False,False,False,False,False,True,33N-111W,40,False,True,unknown
DC-00379,TierPoint: Philadelphia Data Center,TierPoint,"4775 League Island Boulevard, Philadelphia, PA 19112, USA",Philadelphia,PA,39.89248125,-75.16548391131872,PA,False,,False,3.73,11500.0,25700.0,https://datacenters.com/tierpoint-philadelphia,4775.0,League Island Boulevard,20.0,heuristic:colocation_major,10.363561643835617,1.0,423360.0,211680.0,635040.0,1.8,1.225,Low-Medium,False,colocation_major,False,True,False,False,False,False,False,False,39N-075W,91,False,False,unknown
DC-00380,1547 Critical Systems Realty: CHWY1 Cheyenne Data Center,1547 Critical Systems Realty,"340 Progress Circle, Cheyenne, Wyoming, USA",Cheyenne,WY,41.12975077989307,-104.74069313366648,WY,False,5.0,False,87.62,42000.0,42000.0,https://datacenters.com/1547-critical-systems-realty-chwy1-cheyenne,340.0,Progress Circle,5.0,disclosed,3.1624657534246574,1.0,105840.0,52920.0,158760.0,1.8,2.779,Medium-High,False,unknown,False,False,False,False,False,False,False,True,41N-104W,128,False,False,unknown
DC-00381,DataBank: ACT1 - Waco Data Center,DataBank,"700 Austin Avenue, Waco, TX, USA",Waco,TX,31.555117,-97.133556,TX,False,0.8,False,92.59,14210.0,34000.0,https://datacenters.com/databank-act1-waco,700.0,Austin Avenue,0.8,disclosed,16.029589041095893,1.0308876712328767,17457.464179726026,8728.732089863013,26186.19626958904,1.8,2.681,Medium-High,False,colocation_major,False,True,False,False,False,False,False,True,31N-097W,24,False,False,unknown
DC-00382,365 Data Centers: NA1 Nashville Data Center,365 Data Centers,"147 4th Avenue North, Nashville, TN, USA",Nashville,TN,36.16185290551425,-86.77787596742111,TN,False,1.33,False,5.6,19656.0,,https://datacenters.com/365-na1-nashville,147.0,4th Avenue North,1.33,disclosed,12.826575342465754,1.0,28153.44,14076.72,42230.16,1.8,0.579,Low,False,colocation_major,False,True,False,False,False,False,False,True,36N-086W,70,False,False,unknown
DC-00383,Digital Realty: Silicon Valley OAK10 Data Center,Digital Realty,"720 2nd Street, Oakland, CA, USA",Oakland,CA,37.7992148,-122.2829762341164,CA,False,14.5,False,13.0,121220.0,122000.0,https://datacenters.com/digital-realty-silicon-valley-oak10,720.0,2nd Street,14.5,disclosed,10.811506849315071,1.0,306935.99999999994,153467.99999999997,460403.9999999999,1.8,3.724,High,True,colocation_major,False,True,False,False,False,False,False,True,37N-122W,81,False,True,unknown
DC-00384,DSM: Winter Haven Data Center,DSM,"200 Avenue B Northwest, Winter Haven, FL, USA",Winter Haven,FL,28.023873,-81.729009,FL,False,,False,37.91,33000.0,33000.0,https://datacenters.com/dsm-winter-haven,200.0,Avenue B Northwest,10.0,heuristic:colocation_secondary,19.63890410958904,1.1391671232876712,241138.89665753423,120569.44832876712,361708.3449863014,1.8,2.559,Medium-High,False,colocation_secondary,False,False,True,False,False,False,False,False,28N-081W,9,False,False,unknown
DC-00385,Flexential: Philadelphia - Collegeville Data Center,Flexential,"101 Troutman Road, Collegeville, PA, USA",Collegeville,PA,40.1522249,-75.47766472123286,PA,False,7.2,False,,203703.0,203703.0,https://datacenters.com/flexential-philadelphia-collegeville,101.0,Troutman Road,7.2,disclosed,9.715068493150683,1.0,152409.59999999998,76204.79999999999,228614.4,1.8,1.225,Low-Medium,False,colocation_major,False,True,False,False,False,False,False,True,40N-075W,106,False,False,unknown
DC-00386,Evocative: Dallas Data Center (DAL1),Evocative,"2800 Summit Avenue, Plano, TX, USA",Plano,TX,33.00975493708304,-96.6784322829964,TX,False,30.0,False,21.75,,300000.0,https://datacenters.com/evocative-dallas-dal1,2800.0,Summit Avenue,30.0,disclosed,15.145479452054794,1.0043643835616438,637811.5581369862,318905.7790684931,956717.3372054794,1.8,2.681,Medium-High,False,colocation_major,False,True,False,False,False,False,False,True,33N-096W,39,False,False,unknown
DC-00387,Digital Realty: Atlanta ATL11 Data Center,Digital Realty,"101 Aquila Way, Austell, GA 30168, USA",Austell,GA,33.74656255,-84.57973928392062,GA,False,28.8,False,11.19,,313000.0,https://datacenters.com/digital-realty-atlanta-atl11,101.0,Aquila Way,28.8,disclosed,13.583835616438355,1.0,609638.3999999999,304819.19999999995,914457.6,1.8,1.889,Low-Medium,False,colocation_major,False,True,False,False,False,False,False,True,33N-084W,36,False,False,unknown
DC-00388,Cologix: JAX2 Jacksonville Data Center,Cologix,"4800 Spring Park Road, Jacksonville, FL, USA",Jacksonville,FL,30.2732365,-81.6139148,FL,False,,False,15.54,125000.0,125000.0,https://datacenters.com/cologix-jax2-jacksonville,4800.0,Spring Park Road,20.0,heuristic:colocation_major,18.339726027397266,1.100191780821918,465777.1923287672,232888.5961643836,698665.7884931507,1.8,2.559,Medium-High,False,colocation_major,False,True,False,False,False,False,False,False,30N-081W,15,False,False,unknown
DC-00389,Flexential: Fort Lauderdale Data Center,Flexential,"5301 Northwest 33rd Avenue, Fort Lauderdale, FL, USA",Fort Lauderdale,FL,26.1900857,-80.1932966509257,FL,False,3.15,False,8.7,22000.0,64164.0,https://datacenters.com/flexential-fort-lauderdale,5301.0,Northwest 33rd Avenue,3.15,disclosed,21.2027397260274,1.1860821917808215,79087.01168219175,39543.50584109587,118630.51752328762,1.8,2.559,Medium-High,False,colocation_major,False,True,False,False,False,False,False,True,26N-080W,3,False,False,unknown
DC-00390,QTS Data Centers: Santa Clara Data Center,QTS Data Centers,"2807 Mission College Boulevard, Santa Clara, CA, USA",Santa Clara,CA,37.38874267985163,-121.96530188522574,CA,False,7.5,False,3.11,80000.0,135000.0,https://datacenters.com/qts-santa-clara,2807.0,Mission College Boulevard,7.5,disclosed,11.309863013698628,1.0,158759.99999999997,79379.99999999999,238140.0,1.8,3.724,High,True,colocation_major,False,True,False,False,False,False,False,True,37N-121W,80,False,True,unknown
DC-00391,TierPoint: Kansas City - Lenexa Data Center,TierPoint,"14500 West 105th Street, Lenexa, KS, USA",Lenexa,KS,38.940002,-94.759005,KS,False,,False,24.24,11000.0,58000.0,https://datacenters.com/tierpoint-kansas-city-lenexa,14500.0,West 105th Street,20.0,heuristic:colocation_major,10.256986301369864,1.0,423360.0,211680.0,635040.0,1.8,2.139,Medium-High,False,colocation_major,False,True,False,False,False,False,False,False,38N-094W,87,False,False,unknown
DC-00392,365 Data Centers: DT1 Detroit Data Center,365 Data Centers,"24660 Lahser Road, Southfield, MI, USA",Southfield,MI,42.4691727860455,-83.26048443144182,MI,False,0.8,False,18.02,,12000.0,https://datacenters.com/365-dt1-detroit,24660.0,Lahser Road,0.8,disclosed,7.469589041095889,1.0,16934.399999999998,8467.199999999999,25401.6,1.8,0.327,Low,False,colocation_major,False,True,False,False,False,False,False,True,42N-083W,134,False,False,unknown
DC-00393,"Deft, a Summit company: Elk Grove Village, IL Data Center","Deft, a Summit company","2200 Busse Road, Elk Grove Village, IL, USA",Elk Grove Village,IL,41.9942301,-87.96223156699811,IL,False,36.4,False,2.89,275000.0,485000.0,https://datacenters.com/deft-a-summit-company-elk-grove-village-il,2200.0,Busse Road,36.4,disclosed,7.767123287671233,1.0,770515.2,385257.6,1155772.7999999998,1.8,0.75,Low,False,colocation_secondary,False,False,True,False,False,False,False,True,41N-087W,122,False,False,unknown
DC-00394,365 Data Centers: PA1 Philadelphia Data Center,365 Data Centers,"1500 Spring Garden Street, Philadelphia, PA, USA",Philadelphia,PA,39.9621861,-75.16400961399813,PA,False,10.0,False,6.84,70650.0,135083.0,https://datacenters.com/365-pa1-philadelphia,1500.0,Spring Garden Street,10.0,disclosed,10.252328767123288,1.0,211680.0,105840.0,317520.0,1.8,1.225,Low-Medium,False,colocation_major,False,True,False,False,False,False,False,True,39N-075W,91,False,False,unknown
DC-00395,365 Data Centers: CH6 Chicago Data Center,365 Data Centers,"427 South LaSalle Street, Chicago, IL, USA",Chicago,IL,41.87633285,-87.63148077036223,IL,False,1.72,False,15.54,,10000.0,https://datacenters.com/365-ch6-chicago,427.0,South LaSalle Street,1.72,disclosed,8.263561643835615,1.0,36408.95999999999,18204.48,54613.43999999999,1.8,0.75,Low,False,colocation_major,False,True,False,False,False,False,False,True,41N-087W,122,False,False,unknown
DC-00396,Netrality Data Centers: 717 South Wells Chicago Data Center,Netrality Data Centers,"717 South Wells Street, Chicago, IL, USA",Chicago,IL,41.8725675,-87.6335124,IL,False,5.7,False,15.54,26100.0,100000.0,https://datacenters.com/netrality-717-south-wells-chicago,717.0,South Wells Street,5.7,disclosed,8.263561643835615,1.0,120657.6,60328.8,180986.4,1.8,0.75,Low,False,colocation_secondary,False,False,True,False,False,False,False,True,41N-087W,122,False,False,unknown
DC-00397,Segra: Charlotte One Data Center,Segra,"3100 International Airport Drive, Charlotte, NC, USA",Charlotte,NC,35.193413,-80.937813,NC,False,0.5,False,1.87,5000.0,7800.0,https://datacenters.com/segra-charlotte-one-2,3100.0,International Airport Drive,0.5,disclosed,12.986575342465754,1.0,10584.0,5292.0,15876.0,1.8,2.498,Medium-High,False,unknown,False,False,False,False,False,False,False,True,35N-080W,55,False,False,unknown
DC-00398,Lumen: Minnetonka 1 Data Center,Lumen,"5510 Feltl Road, Hopkins, MN, USA",Hopkins,MN,44.90623020009234,-93.420815142086,MN,False,,False,9.95,12000.0,12000.0,https://datacenters.com/lumen-minnetonka-1,5510.0,Feltl Road,10.0,heuristic:colocation_secondary,5.982191780821918,1.0,211680.0,105840.0,317520.0,1.8,1.669,Low-Medium,False,colocation_secondary,False,False,True,False,False,False,False,False,44N-093W,155,False,False,unknown
DC-00399,Evocative: Redondo Beach Data Center (LAX14),Evocative,"3690 Redondo Beach Avenue, Redondo Beach, CA 90278, USA",Redondo Beach,CA,33.889492585644724,-118.37004457097676,CA,False,7.5,False,6.6,24345.0,104000.0,https://datacenters.com/evocative-redondo-beach-lax14,3690.0,Redondo Beach Avenue,7.5,disclosed,12.90082191780822,1.0,158759.99999999997,79379.99999999999,238140.0,1.8,3.724,High,True,colocation_major,False,True,False,False,False,False,False,True,33N-118W,43,False,True,unknown
DC-00400,Flexential: Tampa - North Data Center,Flexential,"8350 Parkedge Dr, Tampa, FL 33637, USA",Tampa,FL,28.0738377,-82.3683618993294,FL,False,3.0,False,11.81,60166.0,60166.0,https://datacenters.com/flexential-tampa-north,8350.0,Parkedge Dr,3.0,disclosed,19.36876712328767,1.1310630136986302,71827.0256219178,35913.5128109589,107740.5384328767,1.8,2.559,Medium-High,False,colocation_major,False,True,False,False,False,False,False,True,28N-082W,10,False,False,unknown
DC-00401,Lumen: Los Angeles Data Center,Lumen,"818 W 7th St, Los Angeles, CA, USA",Los Angeles,CA,33.73795510204082,-118.29503263265306,CA,False,,False,11.2,33430.0,75031.0,https://datacenters.com/lumen-los-angeles,818.0,W 7th St,10.0,heuristic:colocation_secondary,12.99671232876712,1.0,211680.0,105840.0,317520.0,1.8,3.724,High,True,colocation_secondary,False,False,True,False,False,False,False,False,33N-118W,43,False,True,unknown
DC-00402,Element Critical: Chicago Two Data Center,Element Critical,"341 Haynes Dr, Wood Dale, IL, USA",Wood Dale,IL,41.97422775,-87.96717559139857,IL,False,5.0,False,3.11,26000.0,45000.0,https://datacenters.com/element-critical-chicago-two,341.0,Haynes Dr,5.0,disclosed,7.767123287671233,1.0,105840.0,52920.0,158760.0,1.8,0.75,Low,False,unknown,False,False,False,False,False,False,False,True,41N-087W,122,False,False,unknown
DC-00403,DataBank: SLC1 Downtown Salt Lake City Data Center,DataBank,"179 Social Hall Ave, Salt Lake City, UT 84111, USA",Salt Lake City,UT,40.7685233,-111.8858522748673,UT,False,0.5,False,4.98,10610.0,16000.0,https://datacenters.com/databank-slc1-downtown-salt-lake-city,179.0,Social Hall Ave,0.5,disclosed,4.806849315068493,1.0,10584.0,5292.0,15876.0,1.8,1.329,Low-Medium,False,colocation_major,False,True,False,False,False,False,False,True,40N-111W,114,False,False,unknown
DC-00404,TPx Communications: Dallas Data Center,TPx Communications,"717 North Harwood Street, Dallas, TX, USA",Dallas,TX,32.785532399999994,-96.79804231034126,TX,False,,False,19.27,,,https://datacenters.com/tpx-communications-dallas,717.0,North Harwood Street,10.0,heuristic:colocation_secondary,15.338630136986302,1.010158904109589,213830.43682191783,106915.21841095891,320745.6552328768,1.8,2.681,Medium-High,False,colocation_secondary,False,False,True,False,False,False,False,False,32N-096W,31,False,False,unknown
DC-00405,CyrusOne: CIN4 Cincinnati Hamilton Data Center,CyrusOne,"103 Knightsbridge Drive, Hamilton, OH, USA",Hamilton,OH,39.387044,-84.565783,OH,False,9.5,False,23.62,83000.0,83000.0,https://datacenters.com/cyrusone-cin4-cincinnati-hamilton,103.0,Knightsbridge Drive,9.5,disclosed,9.804109589041095,1.0,201096.0,100548.0,301644.0,1.8,1.279,Low-Medium,False,colocation_major,False,True,False,False,False,False,False,True,39N-084W,97,False,False,unknown
DC-00406,Digital Realty: Silicon Valley SJC11 Data Center,Digital Realty,"3011 Lafayette Street, Santa Clara, CA, USA",Santa Clara,CA,37.37642765,-121.94847572664035,CA,False,9.0,False,1.2,,90800.0,https://datacenters.com/digital-realty-silicon-valley-sjc11,3011.0,Lafayette Street,9.0,disclosed,11.20082191780822,1.0,190512.0,95256.0,285768.0,1.8,3.724,High,True,colocation_major,False,True,False,False,False,False,False,True,37N-121W,80,False,True,unknown
DC-00407,Lumen: Tulsa 1 Data Center,Lumen,"18 West Archer Street, Tulsa, OK, USA",Tulsa,OK,36.15713366666667,-95.993394,OK,False,,False,6.22,1600.0,10000.0,https://datacenters.com/lumen-tulsa-1,18.0,West Archer Street,10.0,heuristic:colocation_secondary,12.604109589041096,1.0,211680.0,105840.0,317520.0,1.8,1.256,Low-Medium,False,colocation_secondary,False,False,True,False,False,False,False,False,36N-095W,72,False,False,unknown
DC-00408,Lumen: Kansas City 2 Data Center,Lumen,"1212 East 19th Street, Kansas City, MO, USA",Kansas City,MO,39.09067965,-94.56839290913564,MO,False,,False,16.16,13000.0,50000.0,https://datacenters.com/lumen-kansas-city-2-2,1212.0,East 19th Street,10.0,heuristic:colocation_secondary,10.326849315068491,1.0,211680.0,105840.0,317520.0,1.8,1.321,Low-Medium,False,colocation_secondary,False,False,True,False,False,False,False,False,39N-094W,100,False,False,unknown
DC-00409,Equinix: MI2 Miami Data Center,Equinix,"36 Northeast 2nd Street, Miami, FL, USA",Miami,FL,25.7758419,-80.1929625,FL,False,0.3,False,5.6,10942.0,17545.0,https://datacenters.com/equinix-mi2-miami,36.0,Northeast 2nd Street,0.3,disclosed,21.72684931506849,1.2018054794520547,7631.945516712328,3815.972758356164,11447.918275068492,1.8,2.559,Medium-High,False,colocation_major,False,True,False,False,False,False,False,True,25N-080W,2,False,False,unknown
DC-00410,Evocative: Emeryville Data Center (OAK1),Evocative,"1400 65th Street, Emeryville, CA, USA",Emeryville,CA,37.846323,-122.29435,CA,False,,False,16.16,15042.0,15042.0,https://datacenters.com/evocative-emeryville-oak1,1400.0,65th Street,20.0,heuristic:colocation_major,11.014520547945208,1.0,423360.0,211680.0,635040.0,1.8,3.724,High,True,colocation_major,False,True,False,False,False,False,False,False,37N-122W,81,False,True,unknown
DC-00411,Flexential: Charlotte - North Data Center,Flexential,"10105 David Taylor Drive, Charlotte, NC, USA",Charlotte,NC,35.329863,-80.76579057556785,NC,False,3.3,False,12.43,10000.0,62589.0,https://datacenters.com/flexential-charlotte-north,10105.0,David Taylor Drive,3.3,disclosed,12.745479452054797,1.0,69854.4,34927.2,104781.6,1.8,2.498,Medium-High,False,colocation_major,False,True,False,False,False,False,False,True,35N-080W,55,False,False,unknown
DC-00412,CyrusOne: NVA5 Northern Virginia Sterling Data Center,CyrusOne,"21350 Pacific Blvd, Sterling, VA, USA",Sterling,VA,39.02412035,-77.43409999643099,VA,False,105.0,False,5.6,,90000.0,https://datacenters.com/cyrusone-nva5-northern-virginia-sterling,21350.0,Pacific Blvd,105.0,disclosed,10.524383561643834,1.0,2222640.0,1111320.0,3333960.0,1.8,1.94,Low-Medium,False,colocation_major,False,True,False,False,False,False,False,True,39N-077W,93,False,False,unknown
DC-00413,Flexential: Portland - Hillsboro 1 Data Center,Flexential,"3935 NE Aloclek Dr, Hillsboro, OR 97124, USA",Hillsboro,OR,45.5489278,-122.89245438644276,OR,False,5.3,False,14.3,138000.0,85388.0,https://datacenters.com/flexential-portland-hillsboro-1,3935.0,NE Aloclek Dr,5.3,disclosed,8.515616438356165,1.0,112190.4,56095.2,168285.59999999998,1.8,1.569,Low-Medium,False,colocation_major,False,True,False,False,False,False,False,True,45N-122W,162,False,False,unknown
DC-00414,Quonix: Philadelphia - Locust St,Quonix,"2401 Locust Street, Philadelphia, PA, USA",Philadelphia,PA,39.95035505,-75.1800072301968,PA,False,,False,5.6,,4000.0,https://datacenters.com/quonix-philadelphia-locust-st,2401.0,Locust Street,10.0,heuristic:colocation_secondary,10.252328767123288,1.0,211680.0,105840.0,317520.0,1.8,1.225,Low-Medium,False,colocation_secondary,False,False,True,False,False,False,False,False,39N-075W,91,False,False,unknown
DC-00415,Equinix: AT2 Atlanta IBX Data Center,Equinix,"56 Marietta Street NorthWest, Atlanta, GA, USA",Atlanta,GA,33.762757258636405,-84.39693476338218,GA,False,0.9,False,8.08,6479.0,14003.0,https://datacenters.com/equinix-at2-atlanta-ibx,56.0,Marietta Street NorthWest,0.9,disclosed,13.568767123287673,1.0,19051.2,9525.6,28576.8,1.8,1.889,Low-Medium,False,colocation_major,False,True,False,False,False,False,False,True,33N-084W,36,False,False,unknown
